,score,anime_id,type,source,episodes,rating,scored_by,members,favorites,studio,genre,duration_min,aired_from_year
106,390,5069,5,6,110,3,4663,5583,1019,639,44,54,62
107,294,3800,5,6,12,0,3123,4067,65,2,1524,34,60
108,368,3554,3,13,4,6,2336,3051,394,326,600,61,59
109,383,6224,5,9,12,4,3910,4942,491,40,885,56,64
110,290,3282,5,6,12,0,2845,3429,83,202,2037,35,58
111,269,3869,3,13,1,0,483,874,3,491,2627,57,60
112,312,1143,5,9,25,4,1654,2769,20,95,3187,51,53
113,375,3377,5,4,25,3,4507,5385,835,14,2862,56,58
114,365,2744,0,13,1,3,4526,5253,561,519,616,131,57
115,155,3866,3,6,6,0,14,229,0,594,2747,43,59
116,420,2693,5,6,130,3,5003,5842,1208,463,63,55,56
117,122,6165,5,10,26,2,34,911,3,306,1162,53,64
118,305,4236,5,14,14,3,2802,3481,36,18,1806,35,60
119,362,4612,3,13,1,6,2258,2930,223,470,2439,64,61
120,297,4574,3,13,1,6,755,1353,15,373,2439,61,61
121,330,2406,4,6,2,3,1118,1952,4,202,1887,37,55
122,178,4429,5,5,12,5,2296,3526,20,439,1652,55,61
123,174,5704,5,9,13,2,1431,2239,27,234,1552,34,63
124,299,122,5,9,12,5,3559,4287,164,189,2877,55,51
125,184,4341,5,4,4,3,2013,2410,3,113,2989,34,61
126,284,184,3,9,2,6,2685,3226,66,57,358,61,47
127,382,1067,5,6,24,4,1467,2815,68,306,1495,54,45
128,316,5475,3,6,2,6,795,1476,14,107,2439,47,63
129,170,1176,3,13,2,3,2552,3091,30,669,2979,61,53
130,302,6240,3,6,1,3,1989,3100,14,491,949,54,64
131,283,2783,5,6,25,2,3552,4327,249,461,1838,52,56
132,209,6359,3,6,1,4,92,428,1,639,710,90,46
133,408,3364,5,0,13,3,4617,5348,361,3,3026,55,58
134,349,1954,5,6,42,3,285,1034,7,353,3121,55,25
135,296,501,4,6,1,3,3946,4519,264,556,82,71,50
136,303,1634,4,6,2,2,2666,3259,30,639,2271,43,35
137,203,2192,2,9,24,0,2379,3214,28,686,1887,34,54
138,317,4777,5,9,12,3,3445,4465,410,145,3022,55,62
139,269,1684,4,9,2,2,1112,1672,3,538,1552,49,47
140,367,5650,5,14,13,3,4038,4847,212,3,2993,54,63
141,373,178,5,5,26,3,3513,4412,362,242,25,56,50
142,218,5726,3,9,1,0,31,146,0,556,1842,48,33
143,263,5076,5,10,13,3,2794,3756,40,129,1976,38,62
144,248,4838,4,6,2,3,84,303,0,639,2898,55,28
145,113,3147,1,6,1,3,250,511,1,639,2789,62,34
146,219,2116,5,6,26,0,52,304,1,639,1147,56,18
147,182,5288,5,9,144,0,23,179,0,368,1874,32,62
148,309,2839,5,6,12,5,4859,5638,709,701,2399,55,57
149,365,2819,3,13,3,6,2762,3412,316,525,2415,60,56
150,215,5038,4,6,1,3,98,336,0,639,1980,55,46
151,148,6201,2,9,1,0,47,147,0,480,1552,31,64
152,242,1023,3,13,5,6,874,1451,5,35,2439,61,51
153,413,12,5,6,131,3,4194,5058,937,656,439,53,48
154,334,778,3,6,2,5,3110,3802,131,306,2140,61,40
155,221,1408,3,6,5,5,417,757,0,618,547,60,36
156,167,2794,3,6,1,6,95,325,0,182,3151,58,36
157,259,6156,1,4,1,3,82,383,1,120,2651,41,64
158,401,6008,0,6,1,0,1789,2484,34,597,886,142,64
159,187,5360,0,10,1,0,109,174,1,476,2465,36,35
160,363,4745,5,0,13,3,4662,5422,471,470,3033,34,61
161,419,1735,5,6,24,3,1451,2064,102,215,76,54,30
162,368,5536,5,8,22,3,2169,3065,65,583,522,54,63
163,410,3917,5,5,13,3,4995,5810,1081,677,1572,55,60
164,345,2044,5,13,13,3,2795,3518,52,701,2268,55,55
165,207,5662,4,6,9,1,44,260,0,202,2580,36,56
166,300,1499,3,9,1,3,2172,2819,15,202,394,58,54
167,361,4056,4,6,1,3,3653,4316,124,463,2313,43,60
168,315,873,3,6,4,3,1992,2524,43,43,2890,67,35
169,433,1388,5,9,25,4,4955,5799,1162,95,1068,55,54
170,283,3859,5,6,12,3,3321,4186,168,303,1970,33,59
171,396,2799,5,8,12,4,3990,5140,690,306,2782,53,56
172,346,3740,5,6,11,3,3546,4367,179,147,3193,55,59
173,342,1358,0,9,1,3,1625,2130,7,583,2623,131,53
174,221,2106,3,5,1,0,104,336,0,556,2320,101,38
175,263,2999,4,9,1,3,665,1135,3,583,2829,36,57
176,278,625,3,6,3,5,1188,1672,7,688,175,59,43
177,302,2730,2,6,5,0,650,980,3,164,3097,42,56
178,405,6280,5,5,12,3,4733,5508,917,295,2163,55,64
179,380,6611,2,8,26,3,334,893,31,495,186,51,65
180,99,2222,0,9,1,2,315,470,1,639,2968,46,22
181,394,3091,5,6,13,3,4270,5007,328,474,1938,54,57
182,397,1017,0,5,1,4,3257,3999,42,11,1358,60,52
183,322,3920,3,6,2,4,218,639,4,639,2748,58,59
184,213,4677,4,6,1,3,244,776,0,470,3013,0,61
185,214,1613,5,13,12,5,4917,5716,903,606,2412,56,54
186,203,4239,5,4,51,2,142,864,2,556,634,51,60
187,436,8,5,6,24,3,4001,4613,480,11,280,58,51
188,380,2377,2,14,52,3,4553,5399,1045,519,1780,36,56
189,125,2437,2,4,4,3,330,604,1,210,1087,33,55
190,220,460,5,13,13,3,1611,2403,5,446,2179,43,51
191,67,5867,2,10,1,0,26,104,0,136,1552,33,63
192,192,3293,0,6,1,0,15,72,0,479,1208,51,35
193,312,6076,4,9,1,5,969,1848,10,491,846,56,64
194,280,2680,0,6,1,0,469,830,2,639,2203,46,27
195,421,1685,5,8,26,3,1632,2358,114,319,1499,55,25
196,341,6366,2,9,1,0,1248,1668,3,583,1056,63,64
197,399,1324,0,6,1,3,1734,2281,116,556,74,126,31
198,75,5263,2,9,4,0,13,80,0,136,3106,34,62
199,277,3188,4,6,4,3,1949,2694,8,103,3013,36,58
200,399,4942,0,9,1,0,957,1726,6,612,1648,82,62
201,334,388,0,6,1,3,3933,4489,235,639,86,81,47
202,411,615,5,9,23,4,4776,5700,1118,327,2947,56,53
203,328,5235,0,2,1,3,567,1146,4,242,1871,101,63
204,427,2341,3,6,2,3,3591,4296,94,417,2694,57,56
205,492,5651,5,6,12,3,3732,4760,764,519,2106,55,64
206,283,872,5,9,12,5,1487,2080,12,202,1316,54,51
207,263,2085,3,13,2,6,990,1665,38,593,2456,60,53
208,400,3289,0,6,1,5,4462,5070,427,503,803,107,59
209,369,3833,0,6,1,3,4418,4961,165,639,161,116,60
210,337,2371,5,5,26,3,2824,3879,100,461,1398,55,56
211,360,2695,5,6,12,4,4852,5649,989,3,290,55,57
212,138,6631,5,14,0,5,480,2329,28,325,2217,34,65
213,283,198,5,6,26,3,2141,2835,27,556,1237,54,50
214,430,6009,0,9,1,5,1402,3775,87,583,864,164,64
215,376,1072,3,6,3,5,1665,2460,138,556,804,96,32
216,189,6116,2,9,1,3,520,1378,1,677,2065,34,64
217,287,3149,3,6,1,5,4709,5409,291,306,2233,47,58
218,255,4639,5,5,12,3,4085,4893,116,145,2280,55,62
219,357,2548,5,6,11,3,2610,3758,124,142,2124,53,56
220,293,2820,0,4,1,0,249,646,2,639,1353,81,38
221,332,3596,5,9,48,0,2041,2990,203,639,612,55,59
222,292,5615,5,2,13,3,3149,4737,279,709,603,54,64
223,503,3472,5,6,119,3,4997,5827,1220,306,263,54,58
224,435,4544,5,6,12,3,4151,4944,615,491,1960,54,62
225,247,2263,3,6,3,3,307,563,5,417,1552,61,37
226,475,5605,5,6,11,3,3861,4829,409,489,3138,54,63
227,426,5397,4,6,1,3,2373,2954,32,80,362,43,62
228,389,5623,5,4,11,4,4340,5161,863,295,890,54,63
229,365,45,5,6,12,3,4493,5310,857,357,301,55,51
230,423,2495,5,13,26,4,4560,5489,995,87,552,55,56
231,261,324,3,6,4,5,2959,3539,33,116,1704,59,49
232,192,3723,4,9,1,0,1119,1344,0,283,2989,12,57
233,376,634,3,6,1,0,2672,3236,56,397,274,83,49
234,264,2798,5,1,26,0,810,1230,1,201,2544,34,56
235,323,1222,5,4,12,4,4713,5491,786,306,470,55,54
236,307,2949,5,5,12,5,4296,5152,253,57,316,55,57
237,350,4386,5,6,12,3,3669,4718,281,306,3037,55,61
238,302,6531,5,6,12,3,2816,4627,135,230,2804,53,65
239,322,4821,0,8,1,5,2861,4062,178,503,2953,150,62
240,403,215,3,6,6,3,2145,2519,25,479,1998,57,49
241,295,2905,4,9,1,3,1225,1737,4,583,1552,35,57
242,215,6601,2,0,11,3,145,876,1,3,2989,18,65
243,293,667,5,9,48,3,393,1224,7,583,2871,55,34
244,445,4203,5,6,11,3,4278,4899,401,3,1969,55,61
245,332,6228,5,4,0,3,2057,3887,85,389,3151,54,65
246,268,622,5,6,13,2,925,1680,14,519,1648,55,48
247,360,471,4,9,1,3,1903,2657,23,430,521,82,52
248,404,5128,0,6,1,3,1567,2243,23,456,1548,91,63
249,338,855,4,5,1,3,1570,2017,10,583,2610,56,47
250,373,1488,0,6,1,3,3091,3573,11,597,1508,136,54
251,260,2620,3,6,4,6,972,1595,9,372,2439,59,56
252,281,6027,0,10,1,3,2549,4259,180,474,2065,121,64
253,303,1278,5,5,12,2,1017,1619,15,709,961,55,50
254,346,3042,5,5,12,3,4934,5751,1014,15,2993,55,57
255,303,2191,0,9,1,0,848,1311,4,639,2559,82,53
256,398,1121,5,6,25,3,4297,5051,887,353,1989,55,53
257,378,681,5,6,22,3,3702,4322,163,13,1834,55,53
258,368,6350,5,8,12,4,3520,4680,233,461,1,54,65
259,301,1058,5,4,48,3,3088,3723,62,597,34,55,46
260,242,1476,5,13,13,3,1940,3030,16,60,2430,56,54
261,159,1982,4,6,1,3,1439,1946,3,215,2589,35,50
262,226,2846,5,8,24,0,22,127,1,519,1438,54,43
263,228,4469,5,6,23,3,1362,2090,10,639,3176,53,61
264,285,4208,4,6,9,3,3175,3924,54,555,2761,41,60
265,269,2268,5,6,26,1,131,419,2,556,1998,56,45
266,162,5300,5,7,10,0,123,259,1,276,1807,36,62
267,375,2400,5,6,13,3,3747,4372,62,75,3037,55,56
268,321,2082,5,9,13,3,1608,1861,20,267,1208,32,65
269,249,1537,5,9,39,2,1643,2070,15,215,1274,56,45
270,282,4195,4,5,6,5,1657,2340,3,57,2219,34,60
271,144,6466,2,9,3,0,467,623,2,136,1552,33,64
272,330,1531,0,6,1,0,791,1098,12,633,1398,125,44
273,209,2940,5,10,13,3,2705,3704,29,680,2350,54,58
274,311,1327,0,6,1,3,905,1460,1,306,955,108,38
275,278,3328,2,13,10,3,981,2134,19,121,1928,38,56
276,286,3843,3,13,2,6,936,1571,11,411,2439,60,59
277,333,2401,4,9,9,3,2821,3685,131,583,1721,36,55
278,189,4558,2,6,1,4,691,927,0,556,1198,33,61
279,398,5449,3,5,1,3,4511,5153,202,519,1343,54,63
280,280,3203,5,8,10,3,210,896,11,495,684,53,54
281,337,3651,3,6,2,3,3079,3650,71,416,2813,54,59
282,355,1234,5,6,129,0,1901,2665,111,544,2527,52,49
283,438,5638,5,9,25,4,3736,4444,520,583,530,55,63
284,147,4981,5,9,13,0,26,177,0,136,1552,36,62
285,245,641,5,5,13,3,1340,2092,11,696,2165,54,49
286,328,638,5,9,24,2,2352,3146,114,242,1756,55,48
287,346,1159,3,9,4,5,2622,3080,25,583,733,61,53
288,400,1317,3,6,15,4,1014,1697,5,306,1495,55,46
289,380,2591,0,4,1,2,2711,3167,102,364,2679,130,56
290,330,3518,3,9,1,0,397,791,3,639,2309,45,58
291,192,4260,5,9,21,1,15,102,0,646,1543,56,24
292,276,1607,3,6,12,4,86,441,2,639,436,83,33
293,351,1045,5,9,26,3,1160,2257,113,583,1236,55,47
294,244,3760,3,13,1,5,4109,4789,139,75,2516,42,59
295,338,3243,0,6,1,3,3247,3816,48,639,50,61,58
296,76,5908,0,10,1,0,11,18,0,195,2286,44,14
297,84,3697,5,9,52,0,11,109,0,149,2522,42,59
298,320,853,0,4,1,2,3963,4482,66,358,40,129,51
299,281,1511,5,6,19,2,648,1235,14,618,2650,55,33
300,376,4736,3,5,1,3,3153,3844,56,680,2888,58,62
301,281,1995,5,6,12,3,3005,3855,47,221,321,55,55
302,230,2920,0,9,1,2,343,810,2,583,772,44,57
303,350,5673,0,9,1,0,384,786,1,639,1130,95,63
304,289,2168,5,2,52,0,490,866,5,597,2265,53,52
305,362,621,5,9,12,3,1522,2404,30,242,2145,54,53
306,355,3549,4,9,1,0,1526,2060,4,612,1648,55,59
307,342,3943,5,6,13,3,4305,5247,672,327,604,55,60
308,201,4739,5,0,12,3,2954,3640,16,129,2259,34,62
309,248,6603,0,9,1,0,11,35,0,136,1904,75,61
310,348,3899,5,9,58,3,2137,2742,63,597,105,55,60
311,412,608,0,6,1,3,3469,3954,46,597,1496,130,45
312,236,4685,4,13,1,4,2590,3187,41,343,2779,55,61
313,405,3621,5,6,12,4,4694,5544,957,491,2506,54,59
314,281,6273,0,6,1,3,345,901,0,672,3017,39,64
315,285,6255,5,6,12,3,1577,2172,10,336,2002,33,64
316,262,4889,4,0,1,3,144,454,0,474,3037,81,56
317,359,204,5,6,13,4,3035,3679,172,306,3004,54,51
318,362,1048,5,9,13,5,2916,4219,335,306,711,54,53
319,253,3449,4,6,6,0,805,1337,0,461,2491,37,58
320,250,4556,0,10,4,0,1584,2476,29,474,1552,34,60
321,367,1200,0,6,1,3,4722,5408,518,556,260,124,53
322,285,5827,5,6,12,5,4370,5255,479,145,2070,55,64
323,365,3206,5,6,13,4,3824,4622,275,561,2898,55,58
324,296,5837,3,13,2,6,908,1666,13,126,2439,60,63
325,176,5976,4,10,1,3,44,361,0,597,1759,41,63
326,263,6465,4,13,1,3,122,491,1,470,2791,72,64
327,429,1843,0,8,1,3,2572,3136,36,325,1138,121,40
328,443,2619,3,8,7,3,3577,4402,687,583,522,93,57
329,266,3507,3,13,2,6,709,1256,9,689,2439,61,58
330,65,5854,0,4,1,3,989,1679,0,519,2714,91,64
331,330,4207,5,9,13,3,3545,4339,159,234,2046,35,60
332,181,5887,5,14,12,4,3503,4556,74,130,1199,55,63
333,450,116,3,6,14,3,4114,4722,195,353,251,55,51
334,359,3938,5,5,12,4,4406,5335,600,306,2319,54,60
335,293,3626,5,6,24,3,3780,4650,179,95,119,55,59
336,247,1989,3,6,4,5,1277,1835,38,325,919,76,37
337,302,738,5,9,44,3,286,730,2,639,1486,54,23
338,408,1007,0,6,1,3,3258,3765,26,597,1496,139,50
339,268,2262,5,9,50,0,123,362,1,583,1857,55,27
340,25,6059,0,9,1,0,13,24,0,690,2635,45,63
341,458,2853,5,6,25,3,3403,3942,298,594,1650,55,57
342,463,678,5,6,47,5,4685,5599,1147,306,2665,54,53
343,235,5387,5,2,12,3,3722,4691,117,147,589,55,63
344,278,314,5,9,13,3,1616,2214,17,325,30,56,44
345,335,1041,4,6,1,3,934,1437,2,597,226,122,51
346,166,6274,5,9,0,0,13,262,1,264,1998,32,64
347,309,5506,4,6,7,3,1072,1949,6,470,1994,15,63
348,354,340,4,5,1,3,693,1177,2,583,823,151,48
349,334,1242,4,9,1,3,620,976,1,461,216,56,50
350,222,2127,3,6,1,5,1272,1645,12,306,1914,76,34
351,287,879,5,6,25,3,963,1678,8,242,1272,55,44
352,316,3452,4,2,1,3,1454,1929,3,242,1871,56,58
353,189,4826,4,4,1,2,60,178,0,311,370,52,55
354,457,1646,5,8,33,3,2501,3467,309,353,1377,54,42
355,305,1710,0,6,1,5,794,1436,5,583,985,161,30
356,468,5701,5,6,105,3,4333,5286,949,246,3061,36,63
357,361,4349,0,6,1,0,461,738,8,479,2896,127,61
358,223,5430,4,14,1,3,9,84,0,264,1552,0,62
359,392,4892,5,6,12,4,4868,5661,837,679,869,54,62
360,387,4038,5,4,51,2,1241,2101,121,620,3134,52,60
361,338,2752,4,5,1,3,3822,4510,100,709,2679,64,58
362,357,2527,5,5,12,3,4335,5231,508,519,2392,55,56
363,478,6064,5,6,24,3,3060,4557,415,246,3061,55,65
364,336,1124,5,4,133,2,3969,4614,276,358,38,54,53
365,387,2971,5,6,12,3,4707,5455,635,14,1674,54,57
366,247,6542,4,4,1,2,244,701,0,358,38,55,53
367,427,1482,5,9,26,0,3799,4962,752,306,1238,56,54
368,293,536,5,6,12,3,835,1317,10,519,2033,55,44
369,171,920,3,6,1,3,1802,2164,4,242,2189,61,41
370,442,1881,5,6,13,3,4145,4921,418,417,2694,55,55
371,339,1283,5,9,26,3,1384,2168,35,398,3169,56,45
372,204,3544,5,6,12,5,2772,3917,57,57,587,54,60
373,231,786,3,6,2,3,728,1274,2,556,1542,60,44
374,467,624,5,6,26,4,4472,5320,901,417,849,56,51
375,66,5866,2,9,0,3,49,88,0,136,2316,37,63
376,306,2576,5,13,12,5,2670,3552,41,147,1659,56,56
377,339,5707,3,5,8,5,3510,4712,170,492,1184,56,63
378,395,4941,0,9,1,0,1020,1779,4,612,1648,83,62
379,198,4717,0,9,1,0,61,134,1,444,2549,107,54
380,383,1826,5,6,25,4,3415,4347,455,306,2682,54,54
381,418,2492,5,6,24,3,4050,5049,747,306,1619,55,56
382,360,2175,5,10,23,0,478,834,2,353,1257,51,35
383,176,5996,5,9,12,3,3194,4197,57,614,2989,35,64
384,289,4036,5,6,22,3,58,295,1,618,1989,56,32
385,350,3709,5,4,51,0,2834,3319,173,358,3178,54,59
386,144,4665,4,9,1,0,154,431,0,306,2814,34,58
387,416,2665,5,6,26,3,1412,1919,25,14,1898,44,56
388,207,428,5,13,13,3,709,1613,6,57,1598,55,51
389,343,2582,5,6,0,0,474,920,17,353,1815,54,42
390,461,4014,5,6,25,3,4922,5708,986,417,2010,55,60
391,386,571,5,9,52,0,2214,3075,175,321,170,56,50
392,353,1616,4,9,1,0,1851,2709,16,538,1398,45,49
393,298,183,0,9,1,4,2237,2681,29,680,305,110,45
394,329,4013,5,6,12,3,3769,4755,348,147,2686,55,60
395,306,163,5,5,24,5,3982,4715,226,242,1579,55,50
396,219,6154,2,4,1,0,562,1429,0,679,2276,32,64
397,276,5713,5,4,24,0,14,66,0,281,1208,56,37
398,424,1372,5,6,25,4,1396,2325,89,306,3186,56,49
399,279,5804,0,6,1,2,522,920,2,360,219,151,63
400,340,2332,5,8,13,4,2847,4195,190,306,2736,54,55
401,285,3769,3,13,2,6,779,1371,12,373,2439,61,59
402,200,6261,2,10,12,5,556,1714,4,66,2235,32,64
403,271,823,3,13,3,4,1783,2464,17,639,1463,71,51
404,351,6245,5,0,12,3,3936,4983,485,265,1875,43,65
405,383,3302,5,4,25,3,3958,5013,770,3,1610,55,58
406,349,6589,4,6,1,3,914,2104,20,679,3100,55,64
407,247,6299,5,9,24,3,2327,4047,94,542,589,54,65
408,347,241,5,6,50,3,1720,2711,55,597,883,54,52
409,203,1178,3,9,2,3,411,736,3,242,2322,59,44
410,335,2083,5,9,13,3,1417,1559,3,267,1208,32,54
411,290,4215,3,6,2,6,841,1449,11,501,2439,52,60
412,213,3581,3,6,2,6,1911,2537,101,470,2439,51,59
413,282,5266,4,6,1,5,215,1472,6,417,2772,41,63
414,206,1683,4,11,1,2,941,1170,0,538,2522,32,39
415,270,5320,4,5,6,3,1694,2758,10,491,1668,34,63
416,237,6113,5,6,36,0,349,1040,7,358,2897,43,64
417,161,2880,4,5,1,3,2183,2714,7,357,1552,42,56
418,334,3066,5,5,26,3,3394,4459,241,461,2968,55,59
419,180,1166,3,9,1,4,1588,2034,4,417,602,77,48
420,379,5409,5,4,12,4,4401,5279,729,295,889,55,63
421,90,5646,2,9,4,0,32,92,0,76,1532,33,63
422,392,4859,5,9,50,0,1361,2225,153,639,340,55,62
423,369,142,5,10,26,3,4137,4891,516,202,2480,57,51
424,273,6197,3,6,1,3,1023,1995,15,556,1994,43,55
425,382,4252,5,6,12,3,4711,5526,829,103,2354,55,61
426,248,253,5,9,13,3,1169,1893,8,446,1382,55,51
427,93,1470,3,13,1,3,481,782,0,458,2317,55,49
428,280,1555,0,8,1,0,295,560,3,534,1456,76,36
429,216,4630,5,10,26,3,66,238,0,264,1552,32,59
430,357,4549,3,9,3,5,2193,3024,31,491,845,59,61
431,335,3670,3,5,1,3,2570,3117,10,182,694,55,59
432,330,3953,5,6,13,4,4081,5097,828,696,2162,55,60
433,79,5027,5,9,0,1,19,266,0,264,1552,32,62
434,492,4886,5,6,25,3,4898,5690,1073,417,2005,55,62
435,207,4827,5,9,24,0,59,322,1,136,1861,35,62
436,158,6629,4,8,0,3,529,1591,7,145,1029,55,65
437,32,6172,4,9,1,0,24,76,0,402,1874,33,64
438,366,6316,0,8,1,3,89,2912,24,283,2638,121,65
439,324,3306,4,4,2,2,1724,2235,4,358,337,55,58
440,264,642,5,5,26,3,2240,3158,63,696,1600,54,48
441,342,1993,5,6,13,3,4905,5707,1106,519,2156,55,55
442,295,3366,2,0,2,0,1924,2651,9,3,1552,33,58
443,260,3209,4,6,1,0,160,366,1,430,1206,126,44
444,337,3680,5,6,51,3,3226,4139,171,556,404,55,59
